features,n_features,score
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget']",5,0.47851335656213706
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Home_Scoring_Efficiency']",5,0.4738675958188154
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget']",5,0.4738675958188154
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",6,0.4730933023615951
"['Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget']",5,0.47270615563298496
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.47270615563298496
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.47270615563298485
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Home_Scoring_Efficiency']",5,0.47154471544715443
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget']",6,0.4707704219899342
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Home_Scoring_Efficiency']",6,0.4703832752613241
"['Avg_Home_ShotsOnTarget', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.46960898180410376
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",6,0.46960898180410376
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.46689895470383275
"['Avg_Home_Shots', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.4661246612466125
"['Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",6,0.46573751451800227
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget']",5,0.4653503677893922
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.4645760743321719
"['Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Home_Scoring_Efficiency']",5,0.46457607433217185
"['Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget']",5,0.4641889276035618
"['Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.46380178087495166
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots']",5,0.46302748741773136
"['Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.46264034068912113
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.4618660472319009
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Home_Scoring_Efficiency']",5,0.4614789005032907
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",6,0.4610917537746806
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",7,0.4610917537746806
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Away_Shots', 'Home_Scoring_Efficiency']",5,0.45876887340301975
"['Avg_Home_Shots', 'Avg_Home_Yellow', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",5,0.4572202864885792
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Home_Scoring_Efficiency']",6,0.4560588463027487
